Subset index,Custom Score,Precision,Accuracy,Recall
223,1040.0,0.7185929648241206,0.579,0.281496062992126
224,1030.0,0.7286432160804021,0.583,0.2854330708661417
192,1010.0,0.7085427135678392,0.575,0.27755905511811024
672,985.0,0.7193877551020408,0.578,0.27755905511811024
736,975.0,0.7236180904522613,0.581,0.28346456692913385
66,970.0,0.696969696969697,0.57,0.27165354330708663
704,970.0,0.7202072538860104,0.577,0.2736220472440945
199,965.0,0.6934673366834171,0.569,0.27165354330708663
207,965.0,0.6934673366834171,0.569,0.27165354330708663
703,965.0,0.6934673366834171,0.569,0.27165354330708663
239,960.0,0.7070707070707071,0.574,0.2755905511811024
752,960.0,0.7360406091370558,0.585,0.2854330708661417
231,960.0,0.7070707070707071,0.574,0.2755905511811024
228,960.0,0.7244897959183674,0.58,0.2795275590551181
744,960.0,0.7360406091370558,0.585,0.2854330708661417
64,955.0,0.6855670103092784,0.564,0.2618110236220472
196,955.0,0.7035175879396985,0.573,0.2755905511811024
193,950.0,0.6884422110552764,0.567,0.26968503937007876
739,945.0,0.7135678391959799,0.577,0.2795275590551181
194,945.0,0.702020202020202,0.572,0.2736220472440945
712,940.0,0.7157360406091371,0.577,0.27755905511811024
720,940.0,0.7157360406091371,0.577,0.27755905511811024
160,940.0,0.6868686868686869,0.566,0.2677165354330709
36,940.0,0.6868686868686869,0.566,0.2677165354330709
208,940.0,0.6984924623115578,0.571,0.2736220472440945
200,940.0,0.6984924623115578,0.571,0.2736220472440945
608,940.0,0.6984924623115578,0.571,0.2736220472440945
705,940.0,0.6984924623115578,0.571,0.2736220472440945
743,935.0,0.7121212121212122,0.576,0.27755905511811024
751,935.0,0.7121212121212122,0.576,0.27755905511811024
191,930.0,0.6683417085427136,0.559,0.2618110236220472
708,930.0,0.7085427135678392,0.575,0.27755905511811024
676,930.0,0.7202072538860104,0.577,0.2736220472440945
227,925.0,0.6934673366834171,0.569,0.27165354330708663
215,925.0,0.6934673366834171,0.569,0.27165354330708663
203,925.0,0.6989795918367347,0.57,0.26968503937007876
211,925.0,0.6989795918367347,0.57,0.26968503937007876
714,925.0,0.7222222222222222,0.58,0.281496062992126
722,925.0,0.7222222222222222,0.58,0.281496062992126
747,920.0,0.7185929648241206,0.579,0.281496062992126
233,920.0,0.7128205128205128,0.575,0.2736220472440945
706,920.0,0.7070707070707071,0.574,0.2755905511811024
450,920.0,0.7070707070707071,0.574,0.2755905511811024
247,920.0,0.7070707070707071,0.574,0.2755905511811024
755,920.0,0.7185929648241206,0.579,0.281496062992126
241,920.0,0.7128205128205128,0.575,0.2736220472440945
740,920.0,0.7185929648241206,0.579,0.281496062992126
68,920.0,0.678391959798995,0.563,0.265748031496063
760,920.0,0.7360406091370558,0.585,0.2854330708661417
209,915.0,0.703125,0.57,0.265748031496063
201,915.0,0.703125,0.57,0.265748031496063
721,915.0,0.7035175879396985,0.573,0.2755905511811024
735,915.0,0.7150537634408602,0.572,0.2618110236220472
713,915.0,0.7035175879396985,0.573,0.2755905511811024
576,910.0,0.6767676767676768,0.562,0.2637795275590551
607,910.0,0.6767676767676768,0.562,0.2637795275590551
463,910.0,0.6884422110552764,0.567,0.26968503937007876
455,910.0,0.6884422110552764,0.567,0.26968503937007876
991,905.0,0.702020202020202,0.572,0.2736220472440945
495,905.0,0.7076923076923077,0.573,0.27165354330708663
198,905.0,0.702020202020202,0.572,0.2736220472440945
34,905.0,0.6733668341708543,0.561,0.2637795275590551
2,905.0,0.671875,0.558,0.25393700787401574
487,905.0,0.7076923076923077,0.573,0.27165354330708663
197,905.0,0.6903553299492385,0.567,0.2677165354330709
465,905.0,0.702020202020202,0.572,0.2736220472440945
457,905.0,0.702020202020202,0.572,0.2736220472440945
213,900.0,0.7098445595854922,0.573,0.26968503937007876
674,900.0,0.6984924623115578,0.571,0.2736220472440945
205,900.0,0.7098445595854922,0.573,0.26968503937007876
719,900.0,0.7037037037037037,0.569,0.2618110236220472
711,900.0,0.7037037037037037,0.569,0.2618110236220472
216,900.0,0.6984924623115578,0.571,0.2736220472440945
728,900.0,0.7157360406091371,0.577,0.27755905511811024
148,895.0,0.6834170854271356,0.565,0.2677165354330709
640,895.0,0.6717171717171717,0.56,0.2618110236220472
642,895.0,0.6834170854271356,0.565,0.2677165354330709
140,895.0,0.6834170854271356,0.565,0.2677165354330709
82,895.0,0.6834170854271356,0.565,0.2677165354330709
675,895.0,0.6834170854271356,0.565,0.2677165354330709
74,895.0,0.6834170854271356,0.565,0.2677165354330709
759,895.0,0.7121212121212122,0.576,0.27755905511811024
738,895.0,0.7121212121212122,0.576,0.27755905511811024
458,890.0,0.7085427135678392,0.575,0.27755905511811024
232,890.0,0.7025641025641025,0.571,0.26968503937007876
1007,890.0,0.7085427135678392,0.575,0.27755905511811024
999,890.0,0.7085427135678392,0.575,0.27755905511811024
240,890.0,0.7025641025641025,0.571,0.26968503937007876
225,890.0,0.6852791878172588,0.565,0.265748031496063
612,890.0,0.696969696969697,0.57,0.27165354330708663
480,890.0,0.696969696969697,0.57,0.27165354330708663
466,890.0,0.7085427135678392,0.575,0.27755905511811024
65,890.0,0.6565656565656566,0.554,0.2559055118110236
479,890.0,0.6852791878172588,0.565,0.265748031496063
730,885.0,0.7222222222222222,0.58,0.281496062992126
243,885.0,0.6989795918367347,0.57,0.26968503937007876
219,885.0,0.6989795918367347,0.57,0.26968503937007876
459,885.0,0.6934673366834171,0.569,0.27165354330708663
95,885.0,0.6532663316582915,0.553,0.2559055118110236
204,885.0,0.6934673366834171,0.569,0.27165354330708663
67,885.0,0.6532663316582915,0.553,0.2559055118110236
212,885.0,0.6934673366834171,0.569,0.27165354330708663
467,885.0,0.6934673366834171,0.569,0.27165354330708663
452,885.0,0.6934673366834171,0.569,0.27165354330708663
235,885.0,0.6989795918367347,0.57,0.26968503937007876
548,880.0,0.678391959798995,0.563,0.265748031496063
164,880.0,0.678391959798995,0.563,0.265748031496063
544,880.0,0.6666666666666666,0.558,0.25984251968503935
249,880.0,0.7128205128205128,0.575,0.2736220472440945
763,880.0,0.7185929648241206,0.579,0.281496062992126
226,880.0,0.7068062827225131,0.571,0.265748031496063
96,880.0,0.6666666666666666,0.558,0.25984251968503935
100,880.0,0.689119170984456,0.565,0.2618110236220472
580,880.0,0.678391959798995,0.563,0.265748031496063
518,880.0,0.678391959798995,0.563,0.265748031496063
753,875.0,0.7035175879396985,0.573,0.2755905511811024
516,875.0,0.6633165829145728,0.557,0.25984251968503935
707,875.0,0.6855670103092784,0.564,0.2618110236220472
448,875.0,0.6802030456852792,0.563,0.2637795275590551
710,875.0,0.7035175879396985,0.573,0.2755905511811024
217,875.0,0.703125,0.57,0.265748031496063
745,875.0,0.7035175879396985,0.573,0.2755905511811024
729,875.0,0.7035175879396985,0.573,0.2755905511811024
130,875.0,0.6633165829145728,0.557,0.25984251968503935
32,875.0,0.6548223350253807,0.553,0.25393700787401574
84,870.0,0.6767676767676768,0.562,0.2637795275590551
756,870.0,0.7171717171717171,0.578,0.2795275590551181
6,870.0,0.675392670157068,0.559,0.25393700787401574
322,870.0,0.6767676767676768,0.562,0.2637795275590551
76,870.0,0.6767676767676768,0.562,0.2637795275590551
500,870.0,0.7230769230769231,0.579,0.27755905511811024
236,870.0,0.7055837563451777,0.573,0.2736220472440945
244,870.0,0.7055837563451777,0.573,0.2736220472440945
646,870.0,0.7112299465240641,0.571,0.2618110236220472
723,870.0,0.6884422110552764,0.567,0.26968503937007876
128,870.0,0.6464646464646465,0.55,0.25196850393700787
456,870.0,0.6884422110552764,0.567,0.26968503937007876
471,870.0,0.6884422110552764,0.567,0.26968503937007876
715,870.0,0.6884422110552764,0.567,0.26968503937007876
464,870.0,0.6884422110552764,0.567,0.26968503937007876
748,870.0,0.7171717171717171,0.578,0.2795275590551181
492,870.0,0.7230769230769231,0.579,0.27755905511811024
754,870.0,0.7230769230769231,0.579,0.27755905511811024
746,870.0,0.7230769230769231,0.579,0.27755905511811024
532,865.0,0.6733668341708543,0.561,0.2637795275590551
162,865.0,0.6733668341708543,0.561,0.2637795275590551
524,865.0,0.6733668341708543,0.561,0.2637795275590551
473,865.0,0.702020202020202,0.572,0.2736220472440945
503,865.0,0.7076923076923077,0.573,0.27165354330708663
742,865.0,0.7135678391959799,0.577,0.2795275590551181
202,860.0,0.6868686868686869,0.566,0.2677165354330709
242,860.0,0.6984924623115578,0.571,0.2736220472440945
579,860.0,0.6582914572864321,0.555,0.2578740157480315
741,860.0,0.6984924623115578,0.571,0.2736220472440945
221,860.0,0.7098445595854922,0.573,0.26968503937007876
210,860.0,0.6868686868686869,0.566,0.2677165354330709
514,860.0,0.6582914572864321,0.555,0.2578740157480315
234,860.0,0.6984924623115578,0.571,0.2736220472440945
727,860.0,0.7037037037037037,0.569,0.2618110236220472
90,855.0,0.6834170854271356,0.565,0.2677165354330709
111,855.0,0.6649484536082474,0.556,0.25393700787401574
103,855.0,0.6649484536082474,0.556,0.25393700787401574
47,855.0,0.6432160804020101,0.549,0.25196850393700787
39,855.0,0.6432160804020101,0.549,0.25196850393700787
156,855.0,0.6834170854271356,0.565,0.2677165354330709
31,855.0,0.6387434554973822,0.545,0.24015748031496062
578,850.0,0.6683417085427136,0.559,0.2618110236220472
388,850.0,0.673469387755102,0.56,0.25984251968503935
644,850.0,0.6683417085427136,0.559,0.2618110236220472
474,850.0,0.7085427135678392,0.575,0.27755905511811024
959,850.0,0.6683417085427136,0.559,0.2618110236220472
146,850.0,0.6683417085427136,0.559,0.2618110236220472
138,850.0,0.6683417085427136,0.559,0.2618110236220472
546,850.0,0.6683417085427136,0.559,0.2618110236220472
230,850.0,0.696969696969697,0.57,0.27165354330708663
97,850.0,0.6565656565656566,0.554,0.2559055118110236
1015,850.0,0.7085427135678392,0.575,0.27755905511811024
611,850.0,0.6683417085427136,0.559,0.2618110236220472
248,850.0,0.7025641025641025,0.571,0.26968503937007876
132,850.0,0.6615384615384615,0.555,0.25393700787401574
144,845.0,0.6532663316582915,0.553,0.2559055118110236
643,845.0,0.6532663316582915,0.553,0.2559055118110236
220,845.0,0.6934673366834171,0.569,0.27165354330708663
195,845.0,0.6532663316582915,0.553,0.2559055118110236
136,845.0,0.6532663316582915,0.553,0.2559055118110236
77,845.0,0.6700507614213198,0.559,0.25984251968503935
85,845.0,0.6700507614213198,0.559,0.25984251968503935
451,845.0,0.6700507614213198,0.559,0.25984251968503935
995,845.0,0.6934673366834171,0.569,0.27165354330708663
481,845.0,0.6818181818181818,0.564,0.265748031496063
547,845.0,0.6632124352331606,0.555,0.25196850393700787
251,845.0,0.6989795918367347,0.57,0.26968503937007876
488,845.0,0.6934673366834171,0.569,0.27165354330708663
453,845.0,0.6871794871794872,0.565,0.2637795275590551
447,845.0,0.6532663316582915,0.553,0.2559055118110236
99,845.0,0.6532663316582915,0.553,0.2559055118110236
475,845.0,0.6934673366834171,0.569,0.27165354330708663
496,845.0,0.6934673366834171,0.569,0.27165354330708663
709,840.0,0.6836734693877551,0.564,0.2637795275590551
716,840.0,0.6954314720812182,0.569,0.26968503937007876
484,840.0,0.6954314720812182,0.569,0.26968503937007876
724,840.0,0.6954314720812182,0.569,0.26968503937007876
134,840.0,0.6770833333333334,0.56,0.2559055118110236
975,840.0,0.678391959798995,0.563,0.265748031496063
967,840.0,0.678391959798995,0.563,0.265748031496063
575,840.0,0.6363636363636364,0.546,0.24803149606299213
563,840.0,0.6666666666666666,0.558,0.25984251968503935
555,840.0,0.6666666666666666,0.558,0.25984251968503935
993,835.0,0.6919191919191919,0.568,0.26968503937007876
180,835.0,0.6855670103092784,0.564,0.2618110236220472
172,835.0,0.6855670103092784,0.564,0.2618110236220472
135,835.0,0.6630434782608695,0.552,0.24015748031496062
651,835.0,0.6633165829145728,0.557,0.25984251968503935
659,835.0,0.6633165829145728,0.557,0.25984251968503935
656,835.0,0.6633165829145728,0.557,0.25984251968503935
143,835.0,0.6630434782608695,0.552,0.24015748031496062
176,835.0,0.6633165829145728,0.557,0.25984251968503935
761,835.0,0.7035175879396985,0.573,0.2755905511811024
10,835.0,0.6564102564102564,0.553,0.25196850393700787
18,835.0,0.6564102564102564,0.553,0.25196850393700787
98,835.0,0.6633165829145728,0.557,0.25984251968503935
168,835.0,0.6633165829145728,0.557,0.25984251968503935
648,835.0,0.6633165829145728,0.557,0.25984251968503935
962,835.0,0.6919191919191919,0.568,0.26968503937007876
472,830.0,0.6884422110552764,0.567,0.26968503937007876
80,830.0,0.6482412060301508,0.551,0.25393700787401574
72,830.0,0.6482412060301508,0.551,0.25393700787401574
529,830.0,0.6530612244897959,0.552,0.25196850393700787
521,830.0,0.6530612244897959,0.552,0.25196850393700787
175,830.0,0.6530612244897959,0.552,0.25196850393700787
167,830.0,0.6530612244897959,0.552,0.25196850393700787
402,830.0,0.6875,0.564,0.25984251968503935
394,830.0,0.6875,0.564,0.25984251968503935
731,830.0,0.6884422110552764,0.567,0.26968503937007876
482,830.0,0.6884422110552764,0.567,0.26968503937007876
902,830.0,0.6884422110552764,0.567,0.26968503937007876
963,830.0,0.6820512820512821,0.563,0.2618110236220472
671,830.0,0.6795580110497238,0.557,0.2421259842519685
92,830.0,0.6767676767676768,0.562,0.2637795275590551
764,830.0,0.7171717171717171,0.578,0.2795275590551181
762,830.0,0.7230769230769231,0.579,0.27755905511811024
252,830.0,0.7055837563451777,0.573,0.2736220472440945
508,830.0,0.7230769230769231,0.579,0.27755905511811024
758,825.0,0.7135678391959799,0.577,0.2795275590551181
363,825.0,0.6733668341708543,0.561,0.2637795275590551
371,825.0,0.6733668341708543,0.561,0.2637795275590551
416,825.0,0.6616161616161617,0.556,0.2578740157480315
658,825.0,0.6733668341708543,0.561,0.2637795275590551
610,825.0,0.6733668341708543,0.561,0.2637795275590551
679,825.0,0.6616161616161617,0.556,0.2578740157480315
352,825.0,0.6616161616161617,0.556,0.2578740157480315
