Subset,Hyperparameter Combination,Type,Score
Subset 46,0,pure,5215
Subset 46,0,enhanced,5270
Subset 46,1,pure,5070
Subset 46,1,enhanced,5205
Subset 46,10,pure,4890
Subset 46,10,enhanced,4760
Subset 46,11,pure,4575
Subset 46,11,enhanced,4765
Subset 46,12,pure,5295
Subset 46,12,enhanced,5190
Subset 46,13,pure,4700
Subset 46,13,enhanced,4635
Subset 46,14,pure,4395
Subset 46,14,enhanced,4620
Subset 46,15,pure,5260
Subset 46,15,enhanced,5330
Subset 46,16,pure,5285
Subset 46,16,enhanced,5175
Subset 46,17,pure,5145
Subset 46,17,enhanced,4905
Subset 46,18,pure,5250
Subset 46,18,enhanced,5315
Subset 46,19,pure,4980
Subset 46,19,enhanced,4790
Subset 46,2,pure,5115
Subset 46,2,enhanced,5235
Subset 46,20,pure,4865
Subset 46,20,enhanced,4815
Subset 46,21,pure,5295
Subset 46,21,enhanced,5190
Subset 46,22,pure,4875
Subset 46,22,enhanced,4700
Subset 46,23,pure,4440
Subset 46,23,enhanced,4440
Subset 46,24,pure,5220
Subset 46,24,enhanced,5205
Subset 46,25,pure,4560
Subset 46,25,enhanced,4550
Subset 46,26,pure,4250
Subset 46,26,enhanced,4425
Subset 46,27,pure,5175
Subset 46,27,enhanced,5160
Subset 46,28,pure,4420
Subset 46,28,enhanced,4445
Subset 46,29,pure,4180
Subset 46,29,enhanced,4175
Subset 46,3,pure,5290
Subset 46,3,enhanced,5370
Subset 46,30,pure,5325
Subset 46,30,enhanced,5355
Subset 46,31,pure,5235
Subset 46,31,enhanced,5115
Subset 46,32,pure,4990
Subset 46,32,enhanced,5100
Subset 46,33,pure,5295
Subset 46,33,enhanced,5305
Subset 46,34,pure,4925
Subset 46,34,enhanced,4845
Subset 46,35,pure,4710
Subset 46,35,enhanced,4530
Subset 46,36,pure,5235
Subset 46,36,enhanced,5235
Subset 46,37,pure,4665
Subset 46,37,enhanced,4605
Subset 46,38,pure,4335
Subset 46,38,enhanced,4630
Subset 46,39,pure,5175
Subset 46,39,enhanced,5190
Subset 46,4,pure,5105
Subset 46,4,enhanced,5000
Subset 46,40,pure,4335
Subset 46,40,enhanced,4500
Subset 46,41,pure,4290
Subset 46,41,enhanced,4245
Subset 46,42,pure,5160
Subset 46,42,enhanced,5045
Subset 46,43,pure,4080
Subset 46,43,enhanced,4530
Subset 46,44,pure,4160
Subset 46,44,enhanced,4065
