Subset,Hyperparameter Combination,Type,Score
Subset 46,0,pure,0.7482447342026078
Subset 46,0,enhanced,0.751503006012024
Subset 46,1,pure,0.7377377377377378
Subset 46,1,enhanced,0.7467467467467468
Subset 46,10,pure,0.7257257257257257
Subset 46,10,enhanced,0.717434869739479
Subset 46,11,pure,0.7058232931726908
Subset 46,11,enhanced,0.7181544633901705
Subset 46,12,pure,0.7527527527527528
Subset 46,12,enhanced,0.7457457457457457
Subset 46,13,pure,0.7134268537074149
Subset 46,13,enhanced,0.7098393574297188
Subset 46,14,pure,0.6926926926926927
Subset 46,14,enhanced,0.7077077077077077
Subset 46,15,pure,0.7537840565085772
Subset 46,15,enhanced,0.7555110220440882
Subset 46,16,pure,0.7525050100200401
Subset 46,16,enhanced,0.7447447447447447
Subset 46,17,pure,0.7464646464646465
Subset 46,17,enhanced,0.7267267267267268
Subset 46,18,pure,0.7497497497497497
Subset 46,18,enhanced,0.7545090180360722
Subset 46,19,pure,0.7317317317317318
Subset 46,19,enhanced,0.7194388777555111
Subset 46,2,pure,0.7407407407407407
Subset 46,2,enhanced,0.7487487487487487
Subset 46,20,pure,0.7244488977955912
Subset 46,20,enhanced,0.7207207207207207
Subset 46,21,pure,0.7527527527527528
Subset 46,21,enhanced,0.7457457457457457
Subset 46,22,pure,0.7247247247247247
Subset 46,22,enhanced,0.7134268537074149
Subset 46,23,pure,0.6956956956956957
Subset 46,23,enhanced,0.6956956956956957
Subset 46,24,pure,0.7477477477477478
Subset 46,24,enhanced,0.7467467467467468
Subset 46,25,pure,0.7037037037037037
Subset 46,25,enhanced,0.7034068136272545
Subset 46,26,pure,0.6833667334669339
Subset 46,26,enhanced,0.6946946946946947
Subset 46,27,pure,0.7447447447447447
Subset 46,27,enhanced,0.7437437437437437
Subset 46,28,pure,0.6972754793138244
Subset 46,28,enhanced,0.6963927855711423
Subset 46,29,pure,0.679037111334002
Subset 46,29,enhanced,0.6783567134268537
Subset 46,3,pure,0.753259779338014
Subset 46,3,enhanced,0.7577577577577578
Subset 46,30,pure,0.7547547547547547
Subset 46,30,enhanced,0.7567567567567568
Subset 46,31,pure,0.7487487487487487
Subset 46,31,enhanced,0.7407407407407407
Subset 46,32,pure,0.7344064386317908
Subset 46,32,enhanced,0.7397397397397397
Subset 46,33,pure,0.7527527527527528
Subset 46,33,enhanced,0.7542627883650953
Subset 46,34,pure,0.7284569138276553
Subset 46,34,enhanced,0.7227227227227228
Subset 46,35,pure,0.7137137137137137
Subset 46,35,enhanced,0.7028112449799196
Subset 46,36,pure,0.7487487487487487
Subset 46,36,enhanced,0.7487487487487487
Subset 46,37,pure,0.7107107107107107
Subset 46,37,enhanced,0.7067067067067067
Subset 46,38,pure,0.6886886886886887
Subset 46,38,enhanced,0.7091273821464393
Subset 46,39,pure,0.7447447447447447
Subset 46,39,enhanced,0.7457457457457457
Subset 46,4,pure,0.7404809619238477
Subset 46,4,enhanced,0.7346733668341708
Subset 46,40,pure,0.6886886886886887
Subset 46,40,enhanced,0.6996996996996997
Subset 46,41,pure,0.6856856856856857
Subset 46,41,enhanced,0.6826826826826827
Subset 46,42,pure,0.7437437437437437
Subset 46,42,enhanced,0.7364729458917836
Subset 46,43,pure,0.6716716716716716
Subset 46,43,enhanced,0.7017017017017017
Subset 46,44,pure,0.6804853387259858
Subset 46,44,enhanced,0.6727089627391742
Subset 46,5,pure,0.7347347347347347
Subset 46,5,enhanced,0.7375381485249237
Subset 46,6,pure,0.7527527527527528
Subset 46,6,enhanced,0.7550607287449392
Subset 46,7,pure,0.7364729458917836
Subset 46,7,enhanced,0.7257257257257257
Subset 46,8,pure,0.7197197197197197
Subset 46,8,enhanced,0.7237237237237237
Subset 46,9,pure,0.7537537537537538
Subset 46,9,enhanced,0.7467467467467468
Subset 54,0,pure,0.7287287287287287
Subset 54,0,enhanced,0.7377377377377378
Subset 54,1,pure,0.7447447447447447
Subset 54,1,enhanced,0.7595190380761523
Subset 54,10,pure,0.7264529058116233
Subset 54,10,enhanced,0.7223910840932117
Subset 54,11,pure,0.7017017017017017
Subset 54,11,enhanced,0.7067067067067067
Subset 54,12,pure,0.7537537537537538
Subset 54,12,enhanced,0.7507507507507507
Subset 54,13,pure,0.7264529058116233
Subset 54,13,enhanced,0.7097097097097097
Subset 54,14,pure,0.6943887775551102
Subset 54,14,enhanced,0.7034068136272545
