Subset index,Custom Score,Precision,Accuracy,Recall
486,1015.0,0.7704081632653061,0.598,0.297244094488189
358,1040.0,0.7587939698492462,0.595,0.297244094488189
357,1080.0,0.7587939698492462,0.595,0.297244094488189
485,1040.0,0.7587939698492462,0.595,0.297244094488189
373,1010.0,0.7487437185929648,0.591,0.2933070866141732
366,970.0,0.7487437185929648,0.591,0.2933070866141732
381,970.0,0.7487437185929648,0.591,0.2933070866141732
382,930.0,0.7487437185929648,0.591,0.2933070866141732
510,890.0,0.7487437185929648,0.591,0.2933070866141732
494,930.0,0.7487437185929648,0.591,0.2933070866141732
374,970.0,0.7487437185929648,0.591,0.2933070866141732
502,930.0,0.7487437185929648,0.591,0.2933070866141732
365,1010.0,0.7487437185929648,0.591,0.2933070866141732
454,990.0,0.7461928934010152,0.589,0.28937007874015747
509,915.0,0.7437185929648241,0.589,0.29133858267716534
493,955.0,0.7437185929648241,0.589,0.29133858267716534
501,955.0,0.7437185929648241,0.589,0.29133858267716534
102,1010.0,0.7373737373737373,0.586,0.2874015748031496
326,1000.0,0.7360406091370558,0.585,0.2854330708661417
250,910.0,0.7346938775510204,0.584,0.28346456692913385
234,950.0,0.7346938775510204,0.584,0.28346456692913385
242,950.0,0.7346938775510204,0.584,0.28346456692913385
230,965.0,0.7336683417085427,0.585,0.2874015748031496
453,995.0,0.7323232323232324,0.584,0.2854330708661417
101,985.0,0.7315789473684211,0.58,0.2736220472440945
354,920.0,0.7311827956989247,0.578,0.2677165354330709
477,905.0,0.7309644670050761,0.583,0.28346456692913385
469,945.0,0.7309644670050761,0.583,0.28346456692913385
461,945.0,0.7309644670050761,0.583,0.28346456692913385
478,870.0,0.7286432160804021,0.583,0.2854330708661417
470,910.0,0.7286432160804021,0.583,0.2854330708661417
325,1030.0,0.7286432160804021,0.583,0.2854330708661417
462,910.0,0.7286432160804021,0.583,0.2854330708661417
222,895.0,0.7236180904522613,0.581,0.28346456692913385
214,935.0,0.7236180904522613,0.581,0.28346456692913385
206,935.0,0.7236180904522613,0.581,0.28346456692913385
506,830.0,0.7230769230769231,0.579,0.27755905511811024
498,870.0,0.7230769230769231,0.579,0.27755905511811024
490,870.0,0.7230769230769231,0.579,0.27755905511811024
482,925.0,0.7222222222222222,0.58,0.281496062992126
507,850.0,0.7202072538860104,0.577,0.2736220472440945
491,890.0,0.7202072538860104,0.577,0.2736220472440945
499,890.0,0.7202072538860104,0.577,0.2736220472440945
371,945.0,0.7193877551020408,0.578,0.27755905511811024
363,945.0,0.7193877551020408,0.578,0.27755905511811024
379,905.0,0.7193877551020408,0.578,0.27755905511811024
370,920.0,0.7185929648241206,0.579,0.281496062992126
378,880.0,0.7185929648241206,0.579,0.281496062992126
229,960.0,0.7185929648241206,0.579,0.281496062992126
362,920.0,0.7185929648241206,0.579,0.281496062992126
254,830.0,0.7171717171717171,0.578,0.2795275590551181
238,870.0,0.7171717171717171,0.578,0.2795275590551181
246,870.0,0.7171717171717171,0.578,0.2795275590551181
334,890.0,0.7142857142857143,0.576,0.2755905511811024
