Subset index,Custom Score,Precision,Accuracy,Recall
394,1080.0,0.7587939698492462,0.595,0.297244094488189
418,1080.0,0.7587939698492462,0.595,0.297244094488189
146,1105.0,0.7537688442211056,0.593,0.2952755905511811
170,1020.0,0.7512953367875648,0.589,0.2854330708661417
450,1050.0,0.7487437185929648,0.591,0.2933070866141732
178,1040.0,0.7474747474747475,0.59,0.29133858267716534
202,1040.0,0.7474747474747475,0.59,0.29133858267716534
226,1040.0,0.7474747474747475,0.59,0.29133858267716534
482,1000.0,0.7474747474747475,0.59,0.29133858267716534
458,1000.0,0.7474747474747475,0.59,0.29133858267716534
154,1040.0,0.7474747474747475,0.59,0.29133858267716534
90,1070.0,0.7473684210526316,0.586,0.2795275590551181
184,980.0,0.746031746031746,0.585,0.27755905511811024
114,1065.0,0.745945945945946,0.583,0.27165354330708663
386,1075.0,0.7437185929648241,0.589,0.29133858267716534
210,1035.0,0.7437185929648241,0.589,0.29133858267716534
234,980.0,0.7424242424242424,0.588,0.28937007874015747
494,880.0,0.7422680412371134,0.586,0.28346456692913385
92,1000.0,0.7422680412371134,0.586,0.28346456692913385
242,980.0,0.7386934673366834,0.587,0.28937007874015747
354,1010.0,0.7373737373737373,0.586,0.2874015748031496
330,1010.0,0.7373737373737373,0.586,0.2874015748031496
218,970.0,0.7373737373737373,0.586,0.2874015748031496
480,975.0,0.7357512953367875,0.583,0.2795275590551181
456,975.0,0.7357512953367875,0.583,0.2795275590551181
438,910.0,0.7346938775510204,0.584,0.28346456692913385
26,1060.0,0.7346938775510204,0.584,0.28346456692913385
150,965.0,0.734375,0.582,0.27755905511811024
502,885.0,0.7336683417085427,0.585,0.2874015748031496
426,965.0,0.7336683417085427,0.585,0.2874015748031496
138,1045.0,0.7336683417085427,0.585,0.2874015748031496
162,1045.0,0.7336683417085427,0.585,0.2874015748031496
478,885.0,0.7336683417085427,0.585,0.2874015748031496
118,965.0,0.7336683417085427,0.585,0.2874015748031496
18,1035.0,0.7329842931937173,0.581,0.2755905511811024
240,995.0,0.7323232323232324,0.584,0.2854330708661417
186,955.0,0.7323232323232324,0.584,0.2854330708661417
254,850.0,0.7319587628865979,0.582,0.2795275590551181
298,945.0,0.7315789473684211,0.58,0.2736220472440945
80,1065.0,0.7309644670050761,0.583,0.28346456692913385
58,975.0,0.7295918367346939,0.582,0.281496062992126
473,885.0,0.7287234042553191,0.578,0.26968503937007876
334,950.0,0.7286432160804021,0.583,0.2854330708661417
216,990.0,0.7286432160804021,0.583,0.2854330708661417
358,950.0,0.7286432160804021,0.583,0.2854330708661417
466,950.0,0.7286432160804021,0.583,0.2854330708661417
366,910.0,0.7286432160804021,0.583,0.2854330708661417
446,870.0,0.7286432160804021,0.583,0.2854330708661417
414,910.0,0.7286432160804021,0.583,0.2854330708661417
94,950.0,0.7286432160804021,0.583,0.2854330708661417
424,990.0,0.7286432160804021,0.583,0.2854330708661417
214,925.0,0.7282051282051282,0.581,0.2795275590551181
158,940.0,0.7272727272727273,0.582,0.28346456692913385
190,900.0,0.7272727272727273,0.582,0.28346456692913385
266,1020.0,0.7272727272727273,0.582,0.28346456692913385
290,1020.0,0.7272727272727273,0.582,0.28346456692913385
82,1030.0,0.7272727272727273,0.582,0.28346456692913385
241,970.0,0.7258883248730964,0.581,0.281496062992126
488,920.0,0.7244897959183674,0.58,0.2795275590551181
374,880.0,0.7244897959183674,0.58,0.2795275590551181
153,1000.0,0.7244897959183674,0.58,0.2795275590551181
28,1015.0,0.7236180904522613,0.581,0.28346456692913385
54,975.0,0.7236180904522613,0.581,0.28346456692913385
292,1015.0,0.7236180904522613,0.581,0.28346456692913385
30,975.0,0.7236180904522613,0.581,0.28346456692913385
350,895.0,0.7236180904522613,0.581,0.28346456692913385
249,935.0,0.7236180904522613,0.581,0.28346456692913385
182,935.0,0.7236180904522613,0.581,0.28346456692913385
86,975.0,0.7236180904522613,0.581,0.28346456692913385
268,1015.0,0.7236180904522613,0.581,0.28346456692913385
248,935.0,0.7236180904522613,0.581,0.28346456692913385
430,895.0,0.7236180904522613,0.581,0.28346456692913385
116,975.0,0.7236180904522613,0.581,0.28346456692913385
110,935.0,0.7236180904522613,0.581,0.28346456692913385
510,815.0,0.7236180904522613,0.581,0.28346456692913385
286,885.0,0.7225130890052356,0.577,0.27165354330708663
124,925.0,0.7222222222222222,0.58,0.281496062992126
44,925.0,0.7222222222222222,0.572,0.2559055118110236
300,965.0,0.7222222222222222,0.58,0.281496062992126
176,1005.0,0.7222222222222222,0.58,0.281496062992126
136,1030.0,0.7208121827411168,0.579,0.2795275590551181
36,1045.0,0.7208121827411168,0.579,0.2795275590551181
62,915.0,0.7208121827411168,0.579,0.2795275590551181
160,1030.0,0.7208121827411168,0.579,0.2795275590551181
12,1045.0,0.7208121827411168,0.579,0.2795275590551181
60,945.0,0.7193877551020408,0.578,0.27755905511811024
506,825.0,0.7193877551020408,0.578,0.27755905511811024
382,825.0,0.7193877551020408,0.578,0.27755905511811024
10,1045.0,0.7193877551020408,0.578,0.27755905511811024
34,1045.0,0.7193877551020408,0.578,0.27755905511811024
172,960.0,0.71875,0.576,0.27165354330708663
217,960.0,0.7185929648241206,0.579,0.281496062992126
434,920.0,0.7185929648241206,0.579,0.281496062992126
432,960.0,0.7185929648241206,0.579,0.281496062992126
402,960.0,0.7185929648241206,0.579,0.281496062992126
130,1040.0,0.7185929648241206,0.579,0.281496062992126
490,880.0,0.7185929648241206,0.579,0.281496062992126
192,1040.0,0.7185929648241206,0.579,0.281496062992126
220,920.0,0.7185929648241206,0.579,0.281496062992126
244,920.0,0.7185929648241206,0.579,0.281496062992126
50,1000.0,0.7185929648241206,0.579,0.281496062992126
294,960.0,0.7185929648241206,0.579,0.281496062992126
270,960.0,0.7185929648241206,0.579,0.281496062992126
474,880.0,0.7185929648241206,0.579,0.281496062992126
188,910.0,0.7171717171717171,0.578,0.2795275590551181
120,950.0,0.7171717171717171,0.578,0.2795275590551181
126,870.0,0.7171717171717171,0.578,0.2795275590551181
106,950.0,0.7171717171717171,0.578,0.2795275590551181
46,960.0,0.7171717171717171,0.578,0.2795275590551181
302,910.0,0.7171717171717171,0.578,0.2795275590551181
342,910.0,0.7171717171717171,0.578,0.2795275590551181
42,985.0,0.7171717171717171,0.578,0.2795275590551181
6,980.0,0.7157894736842105,0.574,0.2677165354330709
310,900.0,0.7157360406091371,0.577,0.27755905511811024
258,1025.0,0.7150259067357513,0.575,0.27165354330708663
236,890.0,0.7142857142857143,0.576,0.2755905511811024
372,890.0,0.7142857142857143,0.576,0.2755905511811024
20,1010.0,0.7142857142857143,0.576,0.2755905511811024
22,1000.0,0.7142857142857143,0.576,0.2755905511811024
346,905.0,0.7135678391959799,0.577,0.2795275590551181
356,945.0,0.7135678391959799,0.577,0.2795275590551181
406,905.0,0.7135678391959799,0.577,0.2795275590551181
152,985.0,0.7135678391959799,0.577,0.2795275590551181
224,985.0,0.7135678391959799,0.577,0.2795275590551181
362,905.0,0.7135678391959799,0.577,0.2795275590551181
322,985.0,0.7135678391959799,0.577,0.2795275590551181
332,945.0,0.7135678391959799,0.577,0.2795275590551181
489,905.0,0.7135678391959799,0.577,0.2795275590551181
156,945.0,0.7135678391959799,0.577,0.2795275590551181
52,985.0,0.7135678391959799,0.577,0.2795275590551181
200,985.0,0.7135678391959799,0.577,0.2795275590551181
318,865.0,0.7135678391959799,0.577,0.2795275590551181
472,880.0,0.7128205128205128,0.575,0.2736220472440945
262,970.0,0.7128205128205128,0.575,0.2736220472440945
208,960.0,0.7128205128205128,0.575,0.2736220472440945
144,1025.0,0.7121212121212122,0.576,0.27755905511811024
