Subset index,Custom Score,Precision,Accuracy,Recall
126,990.0,0.7575757575757576,0.594,0.2952755905511811
54,990.0,0.7540106951871658,0.587,0.27755905511811024
62,1005.0,0.751269035532995,0.591,0.29133858267716534
94,995.0,0.75,0.59,0.28937007874015747
110,935.0,0.7357512953367875,0.583,0.2795275590551181
78,1010.0,0.7346938775510204,0.584,0.28346456692913385
118,965.0,0.7336683417085427,0.585,0.2874015748031496
38,1020.0,0.7333333333333333,0.583,0.281496062992126
14,1000.0,0.7329842931937173,0.581,0.2755905511811024
6,1035.0,0.7329842931937173,0.581,0.2755905511811024
46,1005.0,0.7323232323232324,0.584,0.2854330708661417
102,975.0,0.7236180904522613,0.581,0.28346456692913385
30,975.0,0.7236180904522613,0.581,0.28346456692913385
96,1030.0,0.7230769230769231,0.579,0.27755905511811024
70,1005.0,0.7222222222222222,0.58,0.281496062992126
68,1045.0,0.7208121827411168,0.579,0.2795275590551181
18,1045.0,0.7193877551020408,0.578,0.27755905511811024
86,960.0,0.7185929648241206,0.579,0.281496062992126
22,1000.0,0.7185929648241206,0.579,0.281496062992126
90,960.0,0.7185929648241206,0.579,0.281496062992126
72,1015.0,0.7164948453608248,0.576,0.2736220472440945
92,940.0,0.7157360406091371,0.577,0.27755905511811024
122,890.0,0.7142857142857143,0.576,0.2755905511811024
40,1015.0,0.7121212121212122,0.576,0.27755905511811024
74,975.0,0.7121212121212122,0.576,0.27755905511811024
66,1010.0,0.7085427135678392,0.575,0.27755905511811024
106,930.0,0.7085427135678392,0.575,0.27755905511811024
124,890.0,0.7085427135678392,0.575,0.27755905511811024
93,930.0,0.7085427135678392,0.575,0.27755905511811024
82,960.0,0.7070707070707071,0.574,0.2755905511811024
58,920.0,0.7070707070707071,0.574,0.2755905511811024
114,920.0,0.7070707070707071,0.574,0.2755905511811024
13,960.0,0.7068062827225131,0.571,0.265748031496063
69,990.0,0.7055837563451777,0.573,0.2736220472440945
60,910.0,0.7055837563451777,0.573,0.2736220472440945
50,955.0,0.7035175879396985,0.573,0.2755905511811024
12,995.0,0.7035175879396985,0.573,0.2755905511811024
26,955.0,0.7035175879396985,0.573,0.2755905511811024
2,1035.0,0.7035175879396985,0.573,0.2755905511811024
98,930.0,0.7025641025641025,0.571,0.26968503937007876
87,985.0,0.702020202020202,0.572,0.2736220472440945
21,985.0,0.702020202020202,0.572,0.2736220472440945
20,985.0,0.702020202020202,0.572,0.2736220472440945
73,985.0,0.702020202020202,0.572,0.2736220472440945
85,935.0,0.700507614213198,0.571,0.27165354330708663
117,895.0,0.700507614213198,0.571,0.27165354330708663
104,935.0,0.700507614213198,0.571,0.27165354330708663
29,910.0,0.6994818652849741,0.569,0.265748031496063
116,900.0,0.6984924623115578,0.571,0.2736220472440945
75,980.0,0.6984924623115578,0.571,0.2736220472440945
64,1020.0,0.6984924623115578,0.571,0.2736220472440945
4,975.0,0.6979166666666666,0.568,0.2637795275590551
77,930.0,0.696969696969697,0.57,0.27165354330708663
36,970.0,0.696969696969697,0.57,0.27165354330708663
37,970.0,0.696969696969697,0.57,0.27165354330708663
24,965.0,0.696969696969697,0.57,0.27165354330708663
61,890.0,0.696969696969697,0.57,0.27165354330708663
108,890.0,0.696969696969697,0.57,0.27165354330708663
109,890.0,0.696969696969697,0.57,0.27165354330708663
101,905.0,0.6958762886597938,0.568,0.265748031496063
53,920.0,0.6954314720812182,0.569,0.26968503937007876
84,910.0,0.6938775510204082,0.568,0.2677165354330709
56,910.0,0.6938775510204082,0.568,0.2677165354330709
76,915.0,0.6938775510204082,0.568,0.2677165354330709
71,990.0,0.6938775510204082,0.568,0.2677165354330709
42,925.0,0.6934673366834171,0.569,0.27165354330708663
10,965.0,0.6934673366834171,0.569,0.27165354330708663
8,1005.0,0.6934673366834171,0.569,0.27165354330708663
44,925.0,0.6934673366834171,0.569,0.27165354330708663
125,845.0,0.6934673366834171,0.569,0.27165354330708663
120,885.0,0.6934673366834171,0.569,0.27165354330708663
34,965.0,0.6934673366834171,0.569,0.27165354330708663
112,915.0,0.6919191919191919,0.568,0.26968503937007876
28,915.0,0.6919191919191919,0.568,0.26968503937007876
80,945.0,0.6903553299492385,0.567,0.2677165354330709
97,950.0,0.6884422110552764,0.567,0.26968503937007876
45,910.0,0.6884422110552764,0.567,0.26968503937007876
100,910.0,0.6884422110552764,0.567,0.26968503937007876
32,975.0,0.6871794871794872,0.565,0.2637795275590551
88,900.0,0.6868686868686869,0.566,0.2677165354330709
99,915.0,0.6820512820512821,0.563,0.2618110236220472
23,975.0,0.6818181818181818,0.564,0.265748031496063
49,920.0,0.6818181818181818,0.564,0.265748031496063
52,885.0,0.6818181818181818,0.564,0.265748031496063
5,960.0,0.6802030456852792,0.563,0.2637795275590551
25,920.0,0.678391959798995,0.563,0.265748031496063
111,870.0,0.6772486772486772,0.559,0.25196850393700787
57,830.0,0.675392670157068,0.559,0.25393700787401574
43,885.0,0.6752577319587629,0.56,0.2578740157480315
41,900.0,0.6751269035532995,0.561,0.2618110236220472
17,945.0,0.673469387755102,0.56,0.25984251968503935
11,945.0,0.6733668341708543,0.561,0.2637795275590551
89,850.0,0.6717171717171717,0.56,0.2618110236220472
81,890.0,0.6701570680628273,0.557,0.25196850393700787
39,930.0,0.6700507614213198,0.559,0.25984251968503935
121,795.0,0.6683673469387755,0.558,0.2578740157480315
67,915.0,0.6683673469387755,0.558,0.2578740157480315
113,835.0,0.6683673469387755,0.558,0.2578740157480315
48,890.0,0.6683417085427136,0.559,0.2618110236220472
65,930.0,0.6683417085427136,0.559,0.2618110236220472
107,850.0,0.6683417085427136,0.559,0.2618110236220472
83,890.0,0.6683417085427136,0.559,0.2618110236220472
119,825.0,0.6666666666666666,0.557,0.2559055118110236
16,920.0,0.6666666666666666,0.558,0.25984251968503935
9,930.0,0.6649746192893401,0.557,0.2578740157480315
33,865.0,0.6648648648648648,0.553,0.2421259842519685
79,915.0,0.6633165829145728,0.557,0.25984251968503935
103,875.0,0.6633165829145728,0.557,0.25984251968503935
27,860.0,0.6632653061224489,0.556,0.2559055118110236
51,860.0,0.6582914572864321,0.555,0.2578740157480315
0,865.0,0.657608695652174,0.55,0.23818897637795275
55,860.0,0.6565656565656566,0.554,0.2559055118110236
7,915.0,0.6564102564102564,0.553,0.25196850393700787
105,820.0,0.6548223350253807,0.553,0.25393700787401574
123,750.0,0.6482412060301508,0.551,0.25393700787401574
91,760.0,0.6476683937823834,0.549,0.24606299212598426
59,775.0,0.6464646464646465,0.55,0.25196850393700787
3,800.0,0.6440677966101694,0.543,0.22440944881889763
35,845.0,0.6414141414141414,0.548,0.25
115,760.0,0.6381909547738693,0.547,0.25
15,865.0,0.6377551020408163,0.546,0.24606299212598426
95,825.0,0.6377551020408163,0.546,0.24606299212598426
19,825.0,0.6331658291457286,0.545,0.24803149606299213
1,855.0,0.6197916666666666,0.538,0.234251968503937
47,780.0,0.6161616161616161,0.538,0.24015748031496062
63,795.0,0.6134020618556701,0.536,0.234251968503937
31,755.0,0.6030927835051546,0.532,0.23031496062992127
