Subset index,Custom Score,Precision,Accuracy,Recall
46,1200.0,0.7989949748743719,0.611,0.31299212598425197
126,1120.0,0.7989949748743719,0.611,0.31299212598425197
61,1170.0,0.7959183673469388,0.608,0.30708661417322836
110,1145.0,0.7939698492462312,0.609,0.3110236220472441
62,1145.0,0.7939698492462312,0.609,0.3110236220472441
54,1160.0,0.7878787878787878,0.606,0.30708661417322836
29,1195.0,0.7839195979899497,0.605,0.30708661417322836
125,1090.0,0.7777777777777778,0.602,0.3031496062992126
94,1090.0,0.7777777777777778,0.602,0.3031496062992126
58,1110.0,0.7755102040816326,0.6,0.2992125984251969
78,1125.0,0.7738693467336684,0.601,0.3031496062992126
76,1155.0,0.7727272727272727,0.6,0.30118110236220474
93,1105.0,0.7715736040609137,0.599,0.2992125984251969
50,1145.0,0.7715736040609137,0.599,0.2992125984251969
53,1150.0,0.7688442211055276,0.599,0.30118110236220474
108,1110.0,0.7688442211055276,0.599,0.30118110236220474
118,1070.0,0.7688442211055276,0.599,0.30118110236220474
122,1040.0,0.7653061224489796,0.596,0.2952755905511811
28,1135.0,0.7638190954773869,0.597,0.2992125984251969
102,1095.0,0.7638190954773869,0.597,0.2992125984251969
124,1055.0,0.7638190954773869,0.597,0.2992125984251969
116,1095.0,0.7638190954773869,0.597,0.2992125984251969
77,1135.0,0.7638190954773869,0.597,0.2992125984251969
44,1125.0,0.7626262626262627,0.596,0.297244094488189
121,1085.0,0.7626262626262627,0.596,0.297244094488189
38,1125.0,0.7626262626262627,0.596,0.297244094488189
42,1125.0,0.7626262626262627,0.596,0.297244094488189
90,1080.0,0.7587939698492462,0.595,0.297244094488189
57,1120.0,0.7587939698492462,0.595,0.297244094488189
30,1080.0,0.7587939698492462,0.595,0.297244094488189
92,1070.0,0.7575757575757576,0.594,0.2952755905511811
106,1070.0,0.7575757575757576,0.594,0.2952755905511811
91,1105.0,0.7537688442211056,0.593,0.2952755905511811
52,1105.0,0.7537688442211056,0.593,0.2952755905511811
14,1105.0,0.7537688442211056,0.593,0.2952755905511811
45,1095.0,0.7525252525252525,0.592,0.2933070866141732
86,1045.0,0.751269035532995,0.591,0.29133858267716534
49,1115.0,0.75,0.59,0.28937007874015747
60,1050.0,0.7487437185929648,0.591,0.2933070866141732
36,1130.0,0.7487437185929648,0.591,0.2933070866141732
123,1050.0,0.7487437185929648,0.591,0.2933070866141732
109,1050.0,0.7487437185929648,0.591,0.2933070866141732
89,1080.0,0.7474747474747475,0.59,0.29133858267716534
18,1120.0,0.7474747474747475,0.59,0.29133858267716534
117,1030.0,0.7461928934010152,0.589,0.28937007874015747
37,1110.0,0.7461928934010152,0.589,0.28937007874015747
74,1070.0,0.7461928934010152,0.589,0.28937007874015747
48,1115.0,0.7437185929648241,0.589,0.29133858267716534
12,1115.0,0.7437185929648241,0.589,0.29133858267716534
105,1075.0,0.7437185929648241,0.589,0.29133858267716534
26,1065.0,0.7424242424242424,0.588,0.28937007874015747
22,1065.0,0.7424242424242424,0.588,0.28937007874015747
73,1105.0,0.7424242424242424,0.588,0.28937007874015747
104,1055.0,0.7411167512690355,0.587,0.2874015748031496
113,1055.0,0.7411167512690355,0.587,0.2874015748031496
120,1020.0,0.7386934673366834,0.587,0.28937007874015747
114,1020.0,0.7386934673366834,0.587,0.28937007874015747
75,1070.0,0.7346938775510204,0.584,0.28346456692913385
34,1085.0,0.7336683417085427,0.585,0.2874015748031496
56,1045.0,0.7336683417085427,0.585,0.2874015748031496
107,1045.0,0.7336683417085427,0.585,0.2874015748031496
